,company,title,salary,location,date
2526,UBER TECHNOLOGIES INC,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",03/19/2015
2527,LUXE VALET INC,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",03/23/2015
2528,BIZCRAFT CONSULTING LLC,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",03/22/2017
2529,ZENREACH INC,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",01/29/2020
2530,UBER TECHNOLOGIES INC,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",12/14/2017
2531,ZENREACH INC,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",03/09/2021
2532,STREETLIGHT DATA INC,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",02/14/2020
2533,FUNDING CIRCLE USA INC,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",03/14/2019
2534,ENTELO INC,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",02/20/2019
2535,UBER TECHNOLOGIES INC,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",07/17/2019
2536,SKUPOS INC,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",03/16/2021
2537,UBER TECHNOLOGIES INC,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",01/18/2019
2538,SERVATURE INC,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",03/01/2017
2539,ALTMAN VILANDRIE & COMPANY,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",02/27/2020
2540,E I DU PONT DE NEMOURS AND COMPANY,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",03/02/2019
2541,POPSUGAR INC,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",03/06/2017
2542,GINGERIO INC,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",03/11/2015
2543,QUID INC,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",03/05/2015
2544,CLEARSLIDE INC,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",03/06/2015
2545,CASTLE GLOBAL INC,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",03/15/2019
2546,KOMODO HEALTH INC,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",02/05/2018
2547,XOOM CORPORATION,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",03/12/2015
2548,TAKT INC,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",03/14/2018
2549,LUXE VALET INC,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",01/18/2017
2550,KOMODO HEALTH INC,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",01/25/2017
2551,SHIPT INC,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",12/16/2021
2552,METROMILE INC,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",04/05/2022
2553,METROMILE OPERATING COMPANY,DATA SCIENTIST,"110,000","SAN FRANCISCO, CA",04/19/2022
2554,NEXTDOOR INC,DATA SCIENTIST,"110,094","SAN FRANCISCO, CA",11/01/2019
2555,NEXTDOOR INC,DATA SCIENTIST,"110,094","SAN FRANCISCO, CA",11/05/2019
2556,SALESFORCECOM INC,DATA SCIENTIST,"110,094","SAN FRANCISCO, CA",02/03/2020
2557,LINKEDIN CORPORATION,DATA SCIENTIST,"111,000","SAN FRANCISCO, CA",01/13/2020
2558,LINKEDIN CORPORATION,DATA SCIENTIST,"111,000","SAN FRANCISCO, CA",02/12/2021
2559,LINKEDIN CORPORATION,DATA SCIENTIST,"111,000","SAN FRANCISCO, CA",02/19/2020
2560,LINKEDIN CORPORATION,DATA SCIENTIST,"111,000","SAN FRANCISCO, CA",01/13/2020
2561,AKAMAI TECHNOLOGIES INC,DATA SCIENTIST,"111,030","SAN FRANCISCO, CA",03/08/2018
2562,STITCH FIX INC,DATA SCIENTIST,"111,030","SAN FRANCISCO, CA",02/07/2018
2563,NETLIFY INC,DATA SCIENTIST,"111,030","SAN FRANCISCO, CA",04/17/2018
2564,PINTEREST INC,DATA SCIENTIST,"111,500","SAN FRANCISCO, CA",03/17/2015
2565,PINTEREST INC,DATA SCIENTIST,"111,500","SAN FRANCISCO, CA",08/09/2016
2566,UBER TECHNOLOGIES INC,DATA SCIENTIST,"111,600","SAN FRANCISCO, CA",12/27/2021
2567,SOCIAL BICYCLES LLC,DATA SCIENTIST,"112,000","SAN FRANCISCO, CA",12/13/2019
2568,UBER TECHNOLOGIES INC,DATA SCIENTIST,"112,000","SAN FRANCISCO, CA",04/10/2019
2569,UBER TECHNOLOGIES INC,DATA SCIENTIST,"112,000","SAN FRANCISCO, CA",01/09/2020
2570,TURO INC,DATA SCIENTIST,"112,362","SAN FRANCISCO, CA",02/21/2019
2571,IBM CORPORATION,DATA SCIENTIST,"112,445","SAN FRANCISCO, CA",01/05/2017
2572,IBM CORPORATION,DATA SCIENTIST,"112,445","SAN FRANCISCO, CA",11/23/2016
2573,UBER TECHNOLOGIES INC,DATA SCIENTIST,"112,500","SAN FRANCISCO, CA",03/18/2020
2574,STUBHUB INC,DATA SCIENTIST,"112,642","SAN FRANCISCO, CA",06/25/2018
2575,TASKRABBIT INC,DATA SCIENTIST,"113,277","SAN FRANCISCO, CA",03/10/2017
2576,QUIZLET INC,DATA SCIENTIST,"113,755","SAN FRANCISCO, CA",12/15/2021
2577,INTERNATIONAL BUSINESS MACHINES CORPORATION,DATA SCIENTIST,"113,797","SAN FRANCISCO, CA",10/04/2019
2578,UPWAVE INC,DATA SCIENTIST,"114,000","SAN FRANCISCO, CA",03/04/2021
2579,TWITTER INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",12/09/2016
2580,GINGERIO INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",02/26/2016
2581,UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",01/03/2017
2582,FACEBOOK INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",01/07/2021
2583,UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",11/16/2016
2584,UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",03/15/2017
2585,UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",03/16/2017
2586,DATABRICKS INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",03/17/2017
2587,VUNGLE INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",02/05/2018
2588,UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",07/25/2018
2589,UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",03/21/2017
2590,DATABRICKS INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",02/13/2017
2591,VERILY LIFE SCIENCES LLC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",01/29/2020
2592,CONTEXTLOGIC INC DBA WISH,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",02/03/2020
2593,UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",03/20/2018
2594,UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",05/11/2018
2595,UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",10/25/2017
2596,PAYJOY INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",03/13/2018
2597,UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",12/06/2017
2598,UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",10/13/2017
2599,ASANA INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",02/21/2019
2600,SONDER USA INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",03/29/2018
2601,UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",09/07/2018
2602,UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",07/24/2018
2603,UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",10/31/2017
2604,UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",03/14/2016
2605,TAPJOY INC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",07/26/2018
2606,ASURION LLC,DATA SCIENTIST,"115,000","SAN FRANCISCO, CA",02/01/2020
2607,NEXTDOORCOM INC,DATA SCIENTIST,"115,211","SAN FRANCISCO, CA",02/23/2017
2608,SALESFORCECOM INC,DATA SCIENTIST,"115,211","SAN FRANCISCO, CA",03/10/2017
2609,UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,482","SAN FRANCISCO, CA",01/02/2018
2610,UBER TECHNOLOGIES INC,DATA SCIENTIST,"115,600","SAN FRANCISCO, CA",04/06/2022
2611,UBER TECHNOLOGIES INC,DATA SCIENTIST,"116,334","SAN FRANCISCO, CA",11/20/2020
2612,EMX DIGITAL INC,DATA SCIENTIST,"116,334","SAN FRANCISCO, CA",03/17/2021
2613,FACEBOOK INC,DATA SCIENTIST,"116,583","SAN FRANCISCO, CA",10/24/2019
2614,SANO INTELLIGENCE INC,DATA SCIENTIST,"117,230","SAN FRANCISCO, CA",03/03/2015
2615,SANO INTELLIGENCE INC,DATA SCIENTIST,"117,230","SAN FRANCISCO, CA",03/05/2015
2616,SANO INTELLIGENCE INC,DATA SCIENTIST,"117,230","SAN FRANCISCO, CA",03/05/2015
2617,6SENSE INSIGHTS INC,DATA SCIENTIST,"117,500","SAN FRANCISCO, CA",02/21/2022
2618,AIRPR INC,DATA SCIENTIST,"117,749","SAN FRANCISCO, CA",03/20/2015
2619,MONSANTO COMPANY,DATA SCIENTIST,"118,000","SAN FRANCISCO, CA",06/29/2018
2620,INTERNATIONAL BUSINESS MACHINES CORPORATION,DATA SCIENTIST,"118,331","SAN FRANCISCO, CA",10/24/2019
2621,SALESFORCECOM INC,DATA SCIENTIST,"118,581","SAN FRANCISCO, CA",11/14/2019
2622,EHEALTHINSURANCE SERVICES INC,DATA SCIENTIST,"118,581","SAN FRANCISCO, CA",04/10/2020
2623,STITCH FIX INC,DATA SCIENTIST,"118,581","SAN FRANCISCO, CA",03/25/2020
2624,EHEALTHINSURANCE SERVICES INC,DATA SCIENTIST,"118,581","SAN FRANCISCO, CA",04/10/2020
2625,PINTEREST INC,DATA SCIENTIST,"118,581","SAN FRANCISCO, CA",02/06/2020
2626,NOODLE ANALYTICS INC,DATA SCIENTIST,"118,581","SAN FRANCISCO, CA",02/18/2020
