,company,title,salary,location,date
3258,LYFT INC,DATA SCIENTIST,"161,705","SAN FRANCISCO, CA",08/10/2021
3259,AIRBNB INC,DATA SCIENTIST,"162,810","SAN FRANCISCO, CA",04/07/2020
3260,FACEBOOK INC,DATA SCIENTIST,"163,000","SAN FRANCISCO, CA",10/07/2021
3261,ADOBE SYSTEMS INCORPORATED,DATA SCIENTIST,"163,134","SAN FRANCISCO, CA",07/25/2018
3262,DROPBOX INC,DATA SCIENTIST,"163,342","SAN FRANCISCO, CA",09/09/2021
3263,ALPHA EXPLORATION CO,DATA SCIENTIST,"163,342","SAN FRANCISCO, CA",09/17/2021
3264,META PLATFORMS INC,DATA SCIENTIST,"163,350","SAN FRANCISCO, CA",04/21/2022
3265,STRIPE INC,DATA SCIENTIST,"164,000","SAN FRANCISCO, CA",11/21/2018
3266,LYFT INC,DATA SCIENTIST,"164,171","SAN FRANCISCO, CA",08/10/2021
3267,UBER TECHNOLOGIES INC,DATA SCIENTIST,"164,250","SAN FRANCISCO, CA",12/12/2019
3268,BLOCK INC,DATA SCIENTIST,"164,500","SAN FRANCISCO, CA",04/05/2022
3269,BLOCK INC,DATA SCIENTIST,"164,500","SAN FRANCISCO, CA",12/14/2021
3270,CLASSDOJO INC,DATA SCIENTIST,"164,980","SAN FRANCISCO, CA",11/19/2019
3271,CLASSDOJO INC,DATA SCIENTIST,"164,989","SAN FRANCISCO, CA",12/10/2019
3272,CLASSDOJO,DATA SCIENTIST,"164,989","SAN FRANCISCO, CA",07/10/2019
3273,CLASSDOJO INC,DATA SCIENTIST,"164,989","SAN FRANCISCO, CA",07/11/2019
3274,AIRBNB INC,DATA SCIENTIST,"165,000","SAN FRANCISCO, CA",07/01/2021
3275,CONTEXTLOGIC INC DBA WISH,DATA SCIENTIST,"165,000","SAN FRANCISCO, CA",07/06/2021
3276,CONTEXTLOGIC INC DBA WISH,DATA SCIENTIST,"165,000","SAN FRANCISCO, CA",10/07/2020
3277,AMAZON WEB SERVICES INC,DATA SCIENTIST,"165,000","SAN FRANCISCO, CA",10/09/2019
3278,TOPOGRAPHY HEALTH INC,DATA SCIENTIST,"165,000","SAN FRANCISCO, CA",07/21/2021
3279,LYFT INC,DATA SCIENTIST,"165,000","SAN FRANCISCO, CA",12/19/2016
3280,CONTEXTLOGIC INC DBA WISH,DATA SCIENTIST,"165,000","SAN FRANCISCO, CA",04/19/2022
3281,FAIRE WHOLESALE INC,DATA SCIENTIST,"165,000","SAN FRANCISCO, CA",04/27/2022
3282,EMBARK TRUCKS INC,DATA SCIENTIST,"165,000","SAN FRANCISCO, CA",01/13/2022
3283,FACEBOOK INC,DATA SCIENTIST,"165,000","SAN FRANCISCO, CA",02/19/2021
3284,LYFT INC,DATA SCIENTIST,"165,000","SAN FRANCISCO, CA",03/24/2021
3285,NEXTROLL INC,DATA SCIENTIST,"165,000","SAN FRANCISCO, CA",03/09/2022
3286,SCALE AI INC,DATA SCIENTIST,"165,000","SAN FRANCISCO, CA",03/12/2020
3287,YANKA IDUSTRIES INC,DATA SCIENTIST,"165,000","SAN FRANCISCO, CA",01/06/2020
3288,SQUARE INC,DATA SCIENTIST,"165,000","SAN FRANCISCO, CA",03/16/2020
3289,DOORDASH INC,DATA SCIENTIST,"165,000","SAN FRANCISCO, CA",04/15/2021
3290,AMAZON WEB SERVICES INC,DATA SCIENTIST,"165,000","SAN FRANCISCO, CA",12/20/2019
3291,AIRBNB INC,DATA SCIENTIST,"165,300","SAN FRANCISCO, CA",01/30/2022
3292,LYFT INC,DATA SCIENTIST,"165,443","SAN FRANCISCO, CA",04/09/2022
3293,LYFT INC,DATA SCIENTIST,"166,000","SAN FRANCISCO, CA",04/12/2021
3294,ASANA INC,DATA SCIENTIST,"166,080","SAN FRANCISCO, CA",08/09/2019
3295,SQUARE INC,DATA SCIENTIST,"166,800","SAN FRANCISCO, CA",11/12/2021
3296,LYFT INC,DATA SCIENTIST,"167,435","SAN FRANCISCO, CA",01/30/2022
3297,AIRBNB INC,DATA SCIENTIST,"167,500","SAN FRANCISCO, CA",08/30/2018
3298,FACEBOOK INC,DATA SCIENTIST,"168,000","SAN FRANCISCO, CA",07/15/2021
3299,FACEBOOK INC,DATA SCIENTIST,"168,000","SAN FRANCISCO, CA",05/24/2021
3300,FACEBOOK INC,DATA SCIENTIST,"168,000","SAN FRANCISCO, CA",03/26/2021
3301,AIRBNB INC,DATA SCIENTIST,"168,200","SAN FRANCISCO, CA",01/30/2022
3302,AIRBNB INC,DATA SCIENTIST,"168,500","SAN FRANCISCO, CA",09/03/2021
3303,INDEED INC,DATA SCIENTIST,"169,000","SAN FRANCISCO, CA",10/07/2020
3304,META PLATFORMS INC,DATA SCIENTIST,"169,167","SAN FRANCISCO, CA",04/13/2022
3305,SHELL INFORMATION TECHNOLOGY INTERNATIONAL INC,DATA SCIENTIST,"169,600","SAN FRANCISCO, CA",01/18/2021
3306,DOORDASH INC,DATA SCIENTIST,"170,000","SAN FRANCISCO, CA",09/26/2019
